开户：(可以选择其中1-2个进行查询操作，检查挂失/解挂的操作。)
2020130027,汪笑天(3132578);
(5-4)2020300482(3147383),800;
(5-4)2020331347(3151045),850;
(5-4)2020331644(3151342),900;
(5-4)2020680337(3180836),850;
(5-4)2020690956(3181808),850;
(5-4)2020740439(3183734),750;
(5-4)2020750553(3184904),600;
(5-4)2020770986(3186731),600;
(5-4)2020780761(3187569),800;
(5-4)2020831694(3194796),800;
(5-4)2020860353(3198701),900;
(5-4)2020870592(3199999),700;
(5-4)2020880588(3201030),800;
(5-4)2020890996(3202499),750;
(5-5)2020130027(3132578),850;
(5-5)2020281369(3145114),600;
(5-5)2020290372(3146221),750;
(5-5)2020300453(3147356),900;
(5-5)2020300482(3147383),750;
(5-5)2020331347(3151045),700;
(5-5)2020331644(3151342),750;
(5-5)2020680337(3180836),600;
(5-5)2020690956(3181808),750;
(5-5)2020740439(3183734),750;
(5-5)2020750553(3184904),900;
(5-5)2020770986(3186731),700;
(5-5)2020780761(3187569),750;
(5-5)2020831694(3194796),850;
(5-5)2020860353(3198701),650;
(5-5)2020870592(3199999),650;
(5-5)2020880588(3201030),850;
(5-5)2020890996(3202499),900;
第1组学号：2020240140,2020331516,2020331996,2020610925,2020281145,2020470327,2020250277,2020420971,2020790674,
第2组学号：2020851928,2020830653,2020561368,2020360220,2020360303,2020820878,2020030453,2020300060,2020690972,
第3组学号：2020890389,2020620346,2020851098,2020301465,2020090118,2020030015,2020270080,2020750090,2020551877,
第4组学号：2020610107,2020800490,2020170333,2020460571,2020060450,2020740497,2020750962,2020301027,2020840959,
第5组学号：2020590689,2020041604,2020461484,2020551075,2020561678,2020190542,2020050109,2020900543,2020060658,
学号2020780761余额不足( 4.35),消费-19.00！
学号2020870592余额不足( 3.55),消费-15.50！
学号2020780761余额不足( 4.35),消费-17.00！
学号2020780761余额不足( 4.35),消费-17.00！
学号2020281369充值(5-2)超额(289.80,充750.00)！
学号2020300482充值(5-2)超额(317.80,充700.00)！
学号2020281369余额不足( 6.20),消费-13.50！
学号2020281369余额不足( 0.05),消费-21.00！
学号2020281369余额不足( 0.05),消费-9.50！
学号2020281369余额不足( 0.05),消费-8.60！
学号2020300482余额不足( 7.10),消费-18.00！
学号2020281369余额不足( 0.05),消费-3.00！
学号2020281369余额不足( 0.05),消费-16.00！
学号2020281369余额不足( 0.05),消费-20.00！
学号2020300482余额不足( 7.10),消费-13.50！
学号2020281369余额不足( 0.05),消费-6.85！
学号2020300482余额不足( 2.70),消费-17.00！
学号2020300482余额不足( 2.70),消费-13.50！
学号2020281369余额不足( 0.05),消费-5.80！
学号2020281369余额不足( 0.05),消费-8.00！
学号2020300482余额不足( 2.70),消费-17.50！
学号2020281369余额不足( 0.05),消费-12.00！
学号2020300482余额不足( 2.70),消费-8.50！
学号2020300482余额不足( 2.70),消费-10.00！
学号2020300482余额不足( 2.70),消费-9.30！
学号2020281369余额不足( 0.05),消费-6.50！
学号2020300482余额不足( 2.70),消费-10.50！
学号2020281369余额不足( 0.05),消费-18.50！
学号2020300482余额不足( 2.70),消费-17.00！
学号2020281369余额不足( 0.05),消费-8.25！
学号2020300482余额不足( 2.70),消费-17.00！
学号2020281369余额不足( 0.05),消费-20.50！
学号2020300482余额不足( 2.70),消费-21.50！
学号2020281369余额不足( 0.05),消费-17.00！
学号2020281369余额不足( 0.05),消费-7.20！
学号2020300482余额不足( 2.70),消费-9.30！
学号2020281369余额不足( 0.05),消费-16.00！
学号2020300482余额不足( 2.70),消费-8.00！
学号2020300482余额不足( 2.70),消费-11.50！
学号2020281369余额不足( 0.05),消费-3.00！
学号2020300482余额不足( 2.70),消费-8.25！
学号2020281369余额不足( 0.05),消费-16.00！
学号2020300482余额不足( 2.70),消费-9.50！
学号2020300482余额不足( 2.70),消费-9.50！
学号2020281369余额不足( 0.05),消费-7.55！
学号2020281369余额不足( 0.05),消费-8.50！
学号2020300482余额不足( 2.70),消费-10.50！
学号2020281369余额不足( 0.05),消费-7.50！
学号2020300482余额不足( 2.70),消费-10.00！
学号2020281369余额不足( 0.05),消费-9.30！
学号2020300482余额不足( 2.70),消费-10.00！
学号2020281369余额不足( 0.05),消费-20.00！
学号2020300482余额不足( 2.70),消费-17.00！
学号2020300482余额不足( 2.70),消费-3.35！
学号2020300482余额不足( 2.70),消费-9.00！
学号2020281369余额不足( 0.05),消费-12.50！
学号2020290372充值(5-3)超额(414.45,充600.00)！
学号2020300453充值(5-3)超额(354.80,充850.00)！
学号2020331644充值(5-3)超额(291.65,充750.00)！
学号2020690956充值(5-3)超额(388.30,充700.00)！
学号2020750553充值(5-3)超额(404.60,充850.00)！
学号2020831694充值(5-3)超额(411.05,充750.00)！
学号2020860353充值(5-3)超额(391.45,充850.00)！
学号2020331644余额不足( 0.85),消费-14.00！
学号2020331644余额不足( 0.85),消费-12.00！
学号2020331644余额不足( 0.85),消费-7.90！
学号2020331644余额不足( 0.85),消费-15.00！
学号2020331644余额不足( 0.85),消费-12.50！
学号2020331644余额不足( 0.85),消费-9.30！
学号2020331644余额不足( 0.85),消费-15.00！
学号2020331644余额不足( 0.85),消费-14.00！
学号2020860353余额不足( 5.60),消费-15.50！
学号2020300453余额不足( 5.75),消费-9.30！
学号2020860353余额不足( 5.60),消费-8.95！
学号2020331644余额不足( 0.85),消费-5.80！
学号2020300453余额不足( 5.75),消费-14.00！
学号2020331644余额不足( 0.85),消费-12.00！
学号2020860353余额不足( 5.60),消费-20.50！
学号2020860353余额不足( 5.60),消费-12.50！
学号2020331644余额不足( 0.85),消费-8.50！
学号2020300453余额不足( 5.75),消费-8.00！
学号2020300453余额不足( 5.75),消费-7.90！
学号2020331644余额不足( 0.85),消费-9.30！
学号2020331644余额不足( 0.85),消费-17.00！
学号2020860353余额不足( 5.60),消费-19.00！
学号2020860353余额不足( 5.60),消费-10.00！
学号2020300453余额不足( 5.75),消费-14.00！
学号2020331644余额不足( 0.85),消费-7.20！
学号2020300453余额不足( 5.75),消费-9.30！
学号2020860353余额不足( 5.60),消费-13.50！
学号2020690956余额不足(10.45),消费-13.00！
学号2020300453余额不足( 5.75),消费-9.50！
学号2020290372余额不足( 6.10),消费-21.50！
学号2020290372余额不足( 6.10),消费-19.50！
学号2020750553余额不足(14.45),消费-16.00！
学号2020860353余额不足( 5.60),消费-11.50！
学号2020690956余额不足(10.45),消费-21.00！
学号2020331644余额不足( 0.85),消费-19.50！
学号2020331644余额不足( 0.85),消费-4.75！
学号2020300453余额不足( 5.75),消费-6.50！
学号2020860353余额不足( 5.60),消费-17.50！
学号2020300453余额不足( 5.75),消费-10.50！
学号2020750553余额不足(14.45),消费-20.00！
学号2020290372余额不足( 0.30),消费-13.50！
学号2020690956余额不足( 7.45),消费-21.50！
学号2020860353余额不足( 5.60),消费-11.00！
学号2020690956余额不足( 7.45),消费-14.00！
学号2020300453余额不足( 5.75),消费-20.50！
学号2020300453余额不足( 5.75),消费-18.50！
学号2020290372余额不足( 0.30),消费-4.75！
学号2020331644余额不足( 0.85),消费-3.00！
学号2020750553余额不足( 3.95),消费-6.50！
学号2020750553余额不足( 3.95),消费-8.50！
学号2020860353余额不足( 5.60),消费-11.00！
学号2020300453余额不足( 0.30),消费-17.00！
学号2020690956余额不足( 0.60),消费-17.50！
学号2020331644余额不足( 0.85),消费-15.00！
学号2020290372余额不足( 0.30),消费-8.00！
学号2020290372余额不足( 0.30),消费-13.00！
学号2020831694余额不足(13.80),消费-16.00！
学号2020690956余额不足( 0.60),消费-17.50！
学号2020860353余额不足( 5.60),消费-19.50！
学号2020690956余额不足( 0.60),消费-16.00！
学号2020750553余额不足( 3.95),消费-7.55！
学号2020331644余额不足( 0.85),消费-3.35！
学号2020690956余额不足( 0.60),消费-5.80！
学号2020300453余额不足( 0.30),消费-4.05！
学号2020690956余额不足( 0.60),消费-20.50！
学号2020290372余额不足( 0.30),消费-18.00！
学号2020860353余额不足( 1.55),消费-16.00！
学号2020690956余额不足( 0.60),消费-9.00！
学号2020750553余额不足( 3.95),消费-14.50！
学号2020300453余额不足( 0.30),消费-16.50！
学号2020290372余额不足( 0.30),消费-7.50！
学号2020690956余额不足( 0.60),消费-16.50！
学号2020331644余额不足( 0.85),消费-14.00！
学号2020831694余额不足( 4.15),消费-6.85！
学号2020860353余额不足( 1.55),消费-6.15！
学号2020331644余额不足( 0.85),消费-5.80！
学号2020750553余额不足( 3.95),消费-10.00！
学号2020290372余额不足( 0.30),消费-4.40！
学号2020690956余额不足( 0.60),消费-18.00！
学号2020300453余额不足( 0.30),消费-15.50！
学号2020750553余额不足( 3.95),消费-12.50！
学号2020290372余额不足( 0.30),消费-18.00！
学号2020331644余额不足( 0.85),消费-19.50！
学号2020860353余额不足( 1.55),消费-13.00！
学号2020690956余额不足( 0.60),消费-10.00！
学号2020750553余额不足( 3.95),消费-21.50！
学号2020331644余额不足( 0.85),消费-17.50！
学号2020290372余额不足( 0.30),消费-19.50！
学号2020860353余额不足( 1.55),消费-13.50！
学号2020300453余额不足( 0.30),消费-10.00！
学号2020690956余额不足( 0.60),消费-7.55！
学号2020860353余额不足( 1.55),消费-7.55！
学号2020300453余额不足( 0.30),消费-7.90！
学号2020331644余额不足( 0.85),消费-6.15！
学号2020750553余额不足( 3.95),消费-4.05！
学号2020331644余额不足( 0.85),消费-20.00！
学号2020300453余额不足( 0.30),消费-13.50！
学号2020831694余额不足( 4.15),消费-18.50！
学号2020690956余额不足( 0.60),消费-14.00！
学号2020860353余额不足( 1.55),消费-11.50！
学号2020290372余额不足( 0.30),消费-15.50！
学号2020750553余额不足( 3.95),消费-19.00！
学号2020831694余额不足( 4.15),消费-10.00！
学号2020860353余额不足( 1.55),消费-16.00！
学号2020690956余额不足( 0.60),消费-18.00！
学号2020750553余额不足( 3.95),消费-9.50！
学号2020331644余额不足( 0.85),消费-21.50！
学号2020300453余额不足( 0.30),消费-12.00！
学号2020860353余额不足( 1.55),消费-6.85！
学号2020750553余额不足( 3.95),消费-8.25！
学号2020331644余额不足( 0.85),消费-8.95！
学号2020331644余额不足( 0.85),消费-16.00！
学号2020860353余额不足( 1.55),消费-13.00！
学号2020831694余额不足( 0.80),消费-14.00！
学号2020690956余额不足( 0.60),消费-7.00！
学号2020300453余额不足( 0.30),消费-10.00！
学号2020750553余额不足( 3.95),消费-19.00！
学号2020300453余额不足( 0.30),消费-16.50！
学号2020290372余额不足( 0.30),消费-15.50！
学号2020831694余额不足( 0.80),消费-20.50！
学号2020860353余额不足( 1.55),消费-19.50！
学号2020750553余额不足( 3.95),消费-17.50！
学号2020281369充值(5-4)超额(103.05,充900.00)！
学号2020300482充值(5-4)超额(325.65,充800.00)！
学号2020331347充值(5-4)超额(343.35,充850.00)！
学号2020680337充值(5-4)超额(268.10,充850.00)！
学号2020770986充值(5-4)超额(461.60,充600.00)！
学号2020780761充值(5-4)超额(216.30,充800.00)！
学号2020880588充值(5-4)超额(296.15,充800.00)！
学号2020890996充值(5-4)超额(374.25,充750.00)！
学号2020281369余额不足( 3.35),消费-5.80！
学号2020281369余额不足( 3.35),消费-21.00！
学号2020281369余额不足( 3.35),消费-7.90！
学号2020281369余额不足( 3.35),消费-12.00！
学号2020281369余额不足( 3.35),消费-10.50！
学号2020281369余额不足( 3.35),消费-9.30！
学号2020281369余额不足( 3.35),消费-7.55！
学号2020281369余额不足( 3.35),消费-18.50！
学号2020281369余额不足( 3.35),消费-5.45！
学号2020281369余额不足( 3.35),消费-20.00！
学号2020281369余额不足( 3.35),消费-9.00！
学号2020281369余额不足( 3.35),消费-7.90！
学号2020281369余额不足( 3.35),消费-15.00！
学号2020780761余额不足( 3.55),消费-5.45！
学号2020281369余额不足( 3.35),消费-15.00！
学号2020780761余额不足( 3.55),消费-10.50！
学号2020880588余额不足( 1.75),消费-7.20！
学号2020680337余额不足( 3.15),消费-6.50！
学号2020281369余额不足( 3.35),消费-8.95！
学号2020780761余额不足( 3.55),消费-8.95！
学号2020680337余额不足( 3.15),消费-11.50！
学号2020780761余额不足( 3.55),消费-9.50！
学号2020281369余额不足( 3.35),消费-15.50！
学号2020880588余额不足( 1.75),消费-16.00！
学号2020680337余额不足( 3.15),消费-10.00！
学号2020780761余额不足( 3.55),消费-18.50！
学号2020281369余额不足( 3.35),消费-16.50！
学号2020780761余额不足( 3.55),消费-21.00！
学号2020880588余额不足( 1.75),消费-17.00！
学号2020331347余额不足( 2.85),消费-15.50！
学号2020331347余额不足( 2.85),消费-6.15！
学号2020880588余额不足( 1.75),消费-6.15！
学号2020680337余额不足( 3.15),消费-4.40！
学号2020780761余额不足( 3.55),消费-7.90！
学号2020281369余额不足( 3.35),消费-5.45！
学号2020880588余额不足( 1.75),消费-11.00！
学号2020680337余额不足( 3.15),消费-16.50！
学号2020331347余额不足( 2.85),消费-13.00！
学号2020780761余额不足( 3.55),消费-8.00！
学号2020880588余额不足( 1.75),消费-15.00！
学号2020780761余额不足( 3.55),消费-19.00！
学号2020680337余额不足( 3.15),消费-8.00！
学号2020780761余额不足( 3.55),消费-4.40！
学号2020880588余额不足( 1.75),消费-9.65！
学号2020680337余额不足( 3.15),消费-8.25！
学号2020331347余额不足( 2.85),消费-6.85！
学号2020680337余额不足( 3.15),消费-8.50！
学号2020331347余额不足( 2.85),消费-16.50！
学号2020780761余额不足( 3.55),消费-18.50！
学号2020281369余额不足( 3.35),消费-8.50！
学号2020880588余额不足( 1.75),消费-7.00！
学号2020780761余额不足( 3.55),消费-17.50！
学号2020680337余额不足( 3.15),消费-15.50！
学号2020331347余额不足( 2.85),消费-14.50！
学号2020780761余额不足( 3.55),消费-5.45！
学号2020680337余额不足( 3.15),消费-7.90！
学号2020331347余额不足( 2.85),消费-5.45！
学号2020680337余额不足( 3.15),消费-10.00！
学号2020880588余额不足( 1.75),消费-3.00！
学号2020780761余额不足( 3.55),消费-14.50！
学号2020680337余额不足( 3.15),消费-13.00！
学号2020281369余额不足( 3.35),消费-15.00！
学号2020331347余额不足( 2.85),消费-21.50！
学号2020281369余额不足( 3.35),消费-16.50！
学号2020780761余额不足( 3.55),消费-8.50！
学号2020331347余额不足( 2.85),消费-13.00！
学号2020680337余额不足( 3.15),消费-14.00！
学号2020300482余额不足(14.15),消费-15.50！
学号2020680337余额不足( 3.15),消费-4.40！
学号2020780761余额不足( 3.55),消费-7.90！
学号2020331347余额不足( 2.85),消费-3.00！
学号2020281369余额不足( 3.35),消费-4.75！
学号2020780761余额不足( 3.55),消费-15.50！
学号2020331347余额不足( 2.85),消费-14.00！
学号2020281369余额不足( 3.35),消费-9.00！
学号2020680337余额不足( 3.15),消费-8.50！
学号2020880588余额不足( 1.75),消费-9.00！
学号2020880588余额不足( 1.75),消费-18.00！
学号2020680337余额不足( 3.15),消费-14.00！
学号2020281369余额不足( 3.35),消费-10.50！
学号2020780761余额不足( 3.55),消费-16.50！
学号2020331347余额不足( 2.85),消费-12.00！
学号2020300482余额不足( 1.65),消费-21.00！
学号2020331347余额不足( 2.85),消费-4.05！
学号2020300482余额不足( 1.65),消费-5.45！
学号2020680337余额不足( 3.15),消费-7.55！
学号2020780761余额不足( 3.55),消费-7.55！
学号2020281369余额不足( 3.35),消费-11.50！
学号2020331347余额不足( 2.85),消费-7.00！
学号2020780761余额不足( 3.55),消费-8.50！
学号2020300482余额不足( 1.65),消费-9.50！
学号2020680337余额不足( 3.15),消费-8.50！
学号2020281369余额不足( 3.35),消费-13.50！
学号2020331347余额不足( 2.85),消费-21.00！
学号2020780761余额不足( 3.55),消费-8.50！
学号2020880588余额不足( 1.75),消费-20.00！
学号2020300482余额不足( 1.65),消费-3.70！
学号2020880588余额不足( 1.75),消费-6.85！
学号2020680337余额不足( 3.15),消费-9.30！
学号2020281369余额不足( 3.35),消费-8.60！
学号2020331347余额不足( 2.85),消费-10.00！
学号2020780761余额不足( 3.55),消费-3.70！
学号2020890996余额不足( 6.95),消费-19.00！
学号2020680337余额不足( 3.15),消费-17.00！
学号2020880588余额不足( 1.75),消费-18.00！
学号2020281369余额不足( 3.35),消费-21.00！
学号2020780761余额不足( 3.55),消费-9.00！
学号2020281369余额不足( 3.35),消费-19.00！
学号2020300482余额不足( 1.65),消费-19.00！
学号2020680337余额不足( 3.15),消费-14.50！
学号2020880588余额不足( 1.75),消费-16.00！
学号2020331347余额不足( 2.85),消费-8.25！
学号2020300482余额不足( 1.65),消费-3.70！
学号2020281369余额不足( 3.35),消费-5.45！
学号2020880588余额不足( 1.75),消费-5.45！
学号2020880588余额不足( 1.75),消费-19.00！
学号2020300482余额不足( 1.65),消费-17.50！
学号2020331347余额不足( 2.85),消费-7.50！
学号2020680337余额不足( 3.15),消费-15.00！
学号2020780761余额不足( 3.55),消费-17.50！
学号2020281369余额不足( 3.35),消费-19.50！
学号2020770986余额不足( 2.35),消费-12.50！
学号2020780761余额不足( 3.55),消费-11.50！
学号2020880588余额不足( 1.75),消费-9.00！
学号2020680337余额不足( 3.15),消费-14.00！
学号2020281369余额不足( 3.35),消费-16.50！
学号2020300482余额不足( 1.65),消费-16.00！
学号2020890996余额不足( 2.90),消费-7.00！
学号2020880588余额不足( 1.75),消费-5.80！
学号2020680337余额不足( 3.15),消费-5.10！
学号2020281369余额不足( 3.35),消费-4.75！
学号2020770986余额不足( 2.35),消费-9.65！
学号2020281369余额不足( 3.35),消费-5.10！
学号2020300482余额不足( 1.65),消费-7.55！
学号2020331347余额不足( 2.85),消费-4.40！
学号2020331347余额不足( 2.85),消费-7.00！
学号2020770986余额不足( 2.35),消费-15.00！
学号2020780761余额不足( 3.55),消费-8.00！
学号2020300482余额不足( 1.65),消费-7.00！
学号2020680337余额不足( 3.15),消费-20.50！
学号2020890996余额不足( 2.90),消费-14.50！
学号2020281369余额不足( 3.35),消费-17.00！
学号2020300482余额不足( 1.65),消费-11.00！
学号2020331347余额不足( 2.85),消费-8.50！
学号2020770986余额不足( 2.35),消费-16.50！
学号2020890996余额不足( 2.90),消费-17.50！
学号2020680337余额不足( 3.15),消费-11.50！
学号2020880588余额不足( 1.75),消费-21.00！
学号2020680337余额不足( 3.15),消费-6.50！
学号2020880588余额不足( 1.75),消费-5.45！
学号2020281369余额不足( 3.35),消费-7.55！
学号2020300482余额不足( 1.65),消费-7.20！
学号2020331347余额不足( 2.85),消费-8.60！
学号2020890996余额不足( 2.90),消费-7.55！
学号2020880588余额不足( 1.75),消费-6.85！
学号2020780761余额不足( 3.55),消费-6.50！
学号2020300482余额不足( 1.65),消费-14.50！
学号2020770986余额不足( 2.35),消费-17.00！
学号2020890996余额不足( 2.90),消费-10.50！
学号2020880588余额不足( 1.75),消费-16.00！
学号2020331347余额不足( 2.85),消费-20.50！
学号2020680337余额不足( 3.15),消费-18.50！
学号2020300482余额不足( 1.65),消费-8.00！
学号2020331347余额不足( 2.85),消费-14.00！
学号2020880588余额不足( 1.75),消费-20.00！
学号2020890996余额不足( 2.90),消费-8.50！
学号2020281369余额不足( 3.35),消费-11.00！
学号2020680337余额不足( 3.15),消费-20.50！
学号2020780761余额不足( 3.55),消费-17.00！
学号2020780761余额不足( 3.55),消费-4.05！
学号2020331347余额不足( 2.85),消费-3.00！
学号2020770986余额不足( 2.35),消费-9.30！
学号2020281369余额不足( 3.35),消费-8.25！
学号2020770986余额不足( 2.35),消费-9.30！
学号2020890996余额不足( 2.90),消费-4.40！
学号2020300482余额不足( 1.65),消费-4.05！
学号2020331347余额不足( 2.85),消费-19.00！
学号2020680337余额不足( 3.15),消费-9.50！
学号2020780761余额不足( 0.20),消费-12.50！
学号2020890996余额不足( 2.90),消费-17.50！
学号2020770986余额不足( 2.35),消费-14.00！
学号2020780761余额不足( 0.20),消费-20.00！
学号2020331347余额不足( 2.85),消费-10.50！
学号2020770986余额不足( 2.35),消费-21.00！
学号2020281369余额不足( 3.35),消费-12.50！
学号2020890996余额不足( 2.90),消费-10.50！
学号2020880588余额不足( 1.75),消费-20.50！
学号2020331347余额不足( 2.85),消费-8.25！
学号2020680337余额不足( 3.15),消费-4.05！
学号2020281369余额不足( 3.35),消费-6.50！
学号2020780761余额不足( 0.20),消费-7.90！
学号2020880588余额不足( 1.75),消费-5.10！
学号2020300482余额不足( 1.65),消费-10.00！
学号2020770986余额不足( 2.35),消费-3.70！
学号2020890996余额不足( 2.90),消费-12.00！
学号2020780761余额不足( 0.20),消费-9.50！
学号2020331347余额不足( 2.85),消费-19.50！
学号2020770986余额不足( 2.35),消费-9.50！
学号2020880588余额不足( 1.75),消费-19.00！
学号2020281369余额不足( 3.35),消费-12.00！
学号2020300482余额不足( 1.65),消费-17.00！
学号2020780761余额不足( 0.20),消费-20.00！
学号2020880588余额不足( 1.75),消费-14.50！
学号2020770986余额不足( 2.35),消费-10.00！
学号2020680337余额不足( 3.15),消费-11.50！
学号2020890996余额不足( 2.90),消费-16.00！
学号2020300482余额不足( 1.65),消费-10.50！
学号2020300482余额不足( 1.65),消费-16.00！
学号2020130027充值(5-5)超额(400.25,充850.00)！
学号2020300453充值(5-5)超额(257.60,充900.00)！
学号2020331644充值(5-5)超额(324.00,充750.00)！
学号2020690956充值(5-5)超额(268.60,充750.00)！
学号2020740439充值(5-5)超额(346.55,充750.00)！
学号2020831694充值(5-5)超额(179.60,充850.00)！
学号2020870592充值(5-5)超额(423.30,充650.00)！
学号2020831694余额不足( 7.40),消费-13.00！
学号2020831694余额不足( 7.40),消费-16.50！
学号2020831694余额不足( 7.40),消费-7.55！
学号2020831694余额不足( 7.40),消费-10.50！
学号2020831694余额不足( 7.40),消费-11.00！
学号2020831694余额不足( 0.90),消费-5.80！
学号2020831694余额不足( 0.90),消费-14.50！
学号2020831694余额不足( 0.90),消费-15.00！
学号2020831694余额不足( 0.90),消费-10.00！
学号2020831694余额不足( 0.90),消费-9.00！
学号2020831694余额不足( 0.90),消费-21.50！
学号2020300453余额不足(10.30),消费-11.50！
学号2020831694余额不足( 0.90),消费-8.25！
学号2020831694余额不足( 0.90),消费-8.00！
学号2020300453余额不足( 6.25),消费-8.00！
学号2020740439余额不足(15.35),消费-19.00！
学号2020690956余额不足(16.40),消费-21.00！
学号2020300453余额不足( 2.90),消费-11.00！
学号2020831694余额不足( 0.90),消费-21.50！
学号2020831694余额不足( 0.90),消费-18.50！
学号2020740439余额不足( 0.20),消费-19.50！
学号2020831694余额不足( 0.90),消费-6.50！
学号2020300453余额不足( 2.90),消费-9.30！
学号2020300453余额不足( 2.90),消费-5.80！
学号2020690956余额不足( 2.05),消费-16.00！
学号2020831694余额不足( 0.90),消费-17.50！
学号2020300453余额不足( 2.90),消费-19.00！
学号2020740439余额不足( 0.20),消费-14.00！
学号2020331644余额不足( 5.90),消费-11.50！
学号2020690956余额不足( 2.05),消费-12.00！
学号2020831694余额不足( 0.90),消费-10.00！
学号2020300453余额不足( 2.90),消费-8.50！
学号2020300453余额不足( 2.90),消费-4.40！
学号2020831694余额不足( 0.90),消费-5.80！
学号2020690956余额不足( 2.05),消费-9.30！
学号2020740439余额不足( 0.20),消费-5.10！
学号2020740439余额不足( 0.20),消费-11.00！
学号2020690956余额不足( 2.05),消费-21.50！
学号2020331644余额不足( 5.90),消费-16.50！
学号2020831694余额不足( 0.90),消费-19.50！
学号2020831694余额不足( 0.90),消费-13.50！
学号2020300453余额不足( 2.90),消费-19.50！
学号2020331644余额不足( 5.90),消费-8.00！
学号2020740439余额不足( 0.20),消费-9.30！
学号2020690956余额不足( 2.05),消费-10.00！
学号2020831694余额不足( 0.90),消费-3.00！
学号2020300453余额不足( 2.90),消费-5.80！
学号2020300453余额不足( 2.90),消费-3.00！
学号2020690956余额不足( 2.05),消费-11.00！
学号2020331644余额不足( 1.50),消费-8.50！
学号2020331644余额不足( 1.50),消费-15.00！
学号2020831694余额不足( 0.90),消费-15.00！
学号2020300453余额不足( 2.90),消费-9.00！
学号2020740439余额不足( 0.20),消费-13.00！
学号2020331644余额不足( 1.50),消费-10.50！
学号2020831694余额不足( 0.90),消费-20.00！
学号2020740439余额不足( 0.20),消费-7.00！
学号2020690956余额不足( 2.05),消费-20.00！
学号2020831694余额不足( 0.90),消费-8.95！
学号2020300453余额不足( 2.90),消费-5.80！
学号2020870592余额不足( 6.75),消费-9.65！
学号2020690956余额不足( 2.05),消费-3.35！
学号2020740439余额不足( 0.20),消费-4.75！
学号2020831694余额不足( 0.90),消费-7.00！
学号2020331644余额不足( 1.50),消费-19.00！
学号2020130027余额不足(18.05),消费-21.00！
学号2020690956余额不足( 2.05),消费-14.50！
学号2020300453余额不足( 2.90),消费-14.50！
学号2020870592余额不足( 6.75),消费-18.00！
学号2020300453余额不足( 2.90),消费-17.50！
